0	0.76757
0.10101	0.93524
0.20202	1.1466
0.30303	1.1455
0.40404	1.154
0.50505	1.3246
0.60606	1.5646
0.70707	1.4691
0.80808	1.7375
0.90909	1.6842
1.0101	1.6719
1.1111	1.7399
1.2121	1.9719
1.3131	1.9569
1.4141	1.9843
1.5152	1.8329
1.6162	2.1149
1.7172	1.9869
1.8182	2.0363
1.9192	2.114
2.0202	1.8387
2.1212	1.9638
2.2222	1.7445
2.3232	1.6328
2.4242	1.893
2.5253	1.7023
2.6263	1.6607
2.7273	1.4326
2.8283	1.4774
2.9293	1.2658
3.0303	1.2903
3.1313	1.0478
3.2323	1.0599
3.3333	1.1794
3.4343	0.87257
3.5354	0.6227
3.6364	0.52524
3.7374	0.27585
3.8384	0.3178
3.9394	0.2932
4.0404	0.18571
4.1414	-0.10813
4.2424	-0.11886
4.3434	-0.23174
4.4444	-0.35856
4.5455	-0.53086
4.6465	-0.6226
4.7475	-0.63279
4.8485	-0.75072
4.9495	-0.81937
5.0505	-0.7828
5.1515	-0.81525
5.2525	-0.93389
5.3535	-0.92959
5.4545	-0.85862
5.5556	-1.055
5.6566	-0.96281
5.7576	-0.94334
5.8586	-1.0017
5.9596	-0.97491
6.0606	-0.91803
6.1616	-0.94708
6.2626	-0.67075
6.3636	-0.75539
6.4646	-0.76205
6.5657	-0.63985
6.6667	-0.37652
6.7677	-0.60884
6.8687	-0.28017
6.9697	-0.14374
7.0707	-0.046163
7.1717	-0.14572
7.2727	0.28633
7.3737	0.19477
7.4747	0.37418
7.5758	0.40421
7.6768	0.58243
7.7778	0.57071
7.8788	0.79059
7.9798	0.86386
8.0808	1.0311
8.1818	1.203
8.2828	1.2812
8.3838	1.4714
8.4848	1.4824
8.5859	1.2881
8.6869	1.5937
8.7879	1.8294
8.8889	1.8893
8.9899	2.0411
9.0909	1.8181
9.1919	2.0668
9.2929	1.981
9.3939	2.0563
9.4949	2.0291
9.596	2.0428
9.697	2.0146
9.798	1.9306
9.899	1.7098
10	1.7872
